title,lat,lon,avg_price,capacity
Stay,55.72753,37.575706,1750,65
Sticks,55.748776,37.538652,1450,80
Stim,55.776093,37.678424,600,34
Stolovaya,55.761902,37.652148,1500,25
Subjoy,55.781626,37.704874,300,8
Subjoy,55.784006,37.597198,300,26
Subjoy,55.760468,37.662309,300,30
Subjoy,55.768491,37.647194,300,28
Subjoy,55.720622,37.61518,300,21
Subjoy,55.799312,37.585824,300,15
Subjoy,55.773903,37.650237,300,8
Substance,55.731585,37.598784,,
Sugar,55.750707,37.598712,1500,
Sur,55.75474,37.642854,1500,80
Sure bar,55.78293,37.579392,1550,50
Surf club Nalu balooo,55.712523,37.559273,1500,80
Sweell Cafe,55.756662,37.676125,800,15
Taam Hummus Bar,55.759853,37.647031,1150,36
Taco Project,55.778883,37.598509,1500,41
Tary Moscow,55.775965,37.683293,1350,60
Tempo,55.716444,37.613819,1100,30
Ter.mos,55.722495,37.645643,1450,19
Thai little,55.778981,37.667278,1000,20
Thai pattara center,55.781038,37.560262,1500,40
The Abbey Players Pub,55.752686,37.598212,1550,150
The Backyard Pub,55.756482,37.635165,1100,
The Black Swan Pub,55.754456,37.638015,1350,280
The Breakfast Club,55.732194,37.540228,2000,25
The Lobbiest Bar,55.762675,37.568232,2000,40
The old school pub,55.772019,37.600412,1700,300
The Somoni,55.775283,37.659471,500,20
The tipsy pub,55.780541,37.601855,1500,170
The Waterfront,55.732025,37.620659,1000,25
The white hart pub,55.76223,37.620371,2750,200
The Бык,55.757071,37.659508,700,245
The Бык,55.757446,37.583279,700,40
The Бык,55.781759,37.599088,700,150
The Бык,55.746128,37.705049,700,150
The Фишка,55.764464,37.657805,800,35
Thin 68,55.770755,37.6464,550,70
TomiOmi,55.759896,37.625457,,
Tricky,55.766855,37.642343,1000,48
Trompette,55.770581,37.62557,,
Truba,55.735267,37.584676,1500,300
True Cost,55.753133,37.635042,1250,270
True Cost,55.740896,37.629073,1250,220
True Cost,55.774022,37.578501,1250,200
True Cost,55.740285,37.653922,1250,250
Tsingtao,55.776422,37.679741,1300,34
udcкафе,55.777446,37.632934,1550,50
Umami bistro,55.712168,37.559321,1500,100
Union Jack,55.765277,37.621738,1200,60
Unlock,55.755742,37.633464,1300,120
