lat,lon,price_per_m2,levels,ads_count
55.570497,37.490604,1189.8474178403758,8,2
55.570507,37.489113,1182.2916666666667,16,2
55.570548,37.574031,1117.6470588235295,17,1
55.570594,37.283139,1581.7489999452025,14,4
55.570624,37.4872,1716.0000466509057,14,5
55.571149,37.281962,1337.8054298642533,14,5
55.571215,37.571273,1481.4814814814815,17,1
55.571261,37.490712,1224.857342204281,16,3
55.57151,37.485834,1593.860495017679,27,2
55.5718,37.570222,1125.0,14,1
55.571805,37.492895,1477.7120487394236,13,4
55.571902,37.485322,1250.0,27,1
55.571902,37.485331,1408.7912087912086,25,2
55.571988,37.486418,1293.951093951094,26,3
55.572482,37.567581,923.0769230769231,14,1
55.57264,37.485807,1225.0,12,2
55.573022,37.570078,1319.2612137203166,22,1
55.573052,37.48764,1166.6666666666667,17,1
